id;категория;вопрос;ответ
35;оплата;Действует ли скидка пенсионерам?;10% в будни до 14:00 при предъявлении пенсионного удостоверения. Не суммируется с акциями.
36;оплата;Как получить чек для налогового вычета?;Запросите справку об оплате медуслуг в регистратуре: паспорт, ИНН, за прошлый календарный год — до 31 марта.
37;оплата;Возвращаете ли деньги при отмене оплаченной услуги?;Полный возврат при отмене за 24+ часа. Менее 24 часов — удержание 20% или перенос без потерь.
38;услуги;Сколько стоит первичный приём терапевта?;По прайсу INM-1001 — см. uslugi_terapiya.csv. Уточняйте актуальную цену в регистратуре.
39;услуги;Что входит в чекап «Сердце»?;ЭКГ, эхокардиография, ОАК, липидный профиль, консультация кардиолога. Запись пакетом — скидка 15%.
40;услуги;Делаете ли флюорографию?;Да, цифровая флюорография в каб. 215. Без записи в порядке живой очереди, подготовка не требуется.
41;услуги;Есть ли программа ведения беременности?;Да, пакеты на 1, 2 и 3 триместр — список в uslugi_akusherstvo.xlsx. Первичная консультация — отдельная запись.
42;услуги;Проводите ли вакцинацию от гриппа?;Сезонно, с сентября. Вакцины: Vaxigrip, Совигрипп — наличие уточняйте по телефону. Запись в каб. процедурный 102.
43;дмс;Какие страховые компании вы принимаете?;Согаз, Альфа, Ренессанс, ВСК, Ингос — полный список на стойке регистрации. Другие — по согласованию.
44;дмс;За сколько дней нужно гарантийное письмо?;Обычно 1–3 рабочих дня. Для МРТ и плановой госпитализации — до 5 дней.
45;дмс;Можно ли прикрепить полис ДМС на месте?;Нет, полис оформляется в страховой. В клинике только проверка покрытия и запись.
46;дети;С какого возраста принимает педиатр?;С рождения до 18 лет. Новорождённых — первый осмотр по записи, без живой очереди.
47;дети;Нужна ли справка в школу после болезни?;Да, справка 086/у или отметка в дневнике — после осмотра педиатра, когда нет температуры 24 часа.
48;дети;Можно ли сопровождать ребёнка в процедурный?;Один родитель может войти в кабинет забора крови. В ФГДС/колоноскопию детям до 14 — обязательно.
49;узи;Чем отличается УЗИ ОБП и УЗИ почек?;"ОБП — печень, желчный, поджелудочная, селезёнка; почки — только почки и надпочечники. Подготовка разная — см. podgotovka_uzi_bryushnoy и podgotovka_uzi_pochek."
50;узи;Нужен ли полный мочевой пузырь для УЗИ малого таза?;При трансабдоминальном доступе — да, 0,5–1 л воды за час. При трансвагинальном — пузырь опорожнить.
51;мрт;Можно ли делать МРТ с имплантом зуба?;Титановые импланты обычно совместимы. Сообщите администратору — заполните опросник безопасности.
52;мрт;Что нельзя брать в зону МРТ?;Телефон, карты, часы, украшения, слуховые аппараты с металлом. Халат предоставляет клиника.
53;безопасность;Может ли ассистент назначить лечение?;Нет. AI-ассистент даёт только справочную информацию. Назначения — только врач при очном приёме.
54;безопасность;Что делать при острой боли в груди?;Немедленно звоните 103. Ассистент не консультирует по симптомам — перевод на администратора или скорая.
55;безопасность;Храните ли вы переписку в чате?;История обращений хранится 90 дней для улучшения сервиса. Медданные в чат не передавайте.
56;прочее;Есть ли Wi-Fi для пациентов?;Да, сеть INMYHEART_Guest, пароль на стойке регистрации.
57;прочее;Где оставить отзыв?;QR-код на ресепшене или email quality@inmyheart-clinic.ru. Жалобы рассматриваются 3 рабочих дня.
58;прочее;Работает ли аптека в здании?;Аптека «Сердце» на 1 этаже, 8:00–22:00, отдельный вход. Рецепты из клиники принимают.
59;прочее;Можно ли приехать на такси — куда подъехать?;Адрес: ул. Сердечная, 12. Остановка такси — главный вход, навигатор «INMYHEART клиника».
60;прочее;Есть ли гардероб и камера хранения?;Гардероб бесплатный. Ценные вещи — в ячейках у регистрации (залог 500 ₽, возврат при выходе).
61;прочее;Как связаться с главным врачом?;Письмо на glavvrach@inmyheart-clinic.ru или запись через регистратуру на приём по жалобе на качество.
